CSV Data,0.00sec - 15.40sec
DATASET,F054
VERSION,1
SERIES,CH_1,CH_2,CH_3,CH_4
DATE,10-09-2024
TIME,08:14:24
RATE,20
VERT_UNITS,Nm,deg,N,ue
HORZ_UNITS,SEC
NUM_SERIES,4
STORAGE_MODE,INTERLACED
FILE_TYPE,INTEGER
SLOPE,0.00400,0.00400,0.20000,0.55300
X_OFFSET,0
Y_OFFSET,0,0,0,0
NUM_SAMPS,0000309
,CH_1,CH_2,CH_3,CH_4
1,0.048,-0.04,-12.8,215.117
2,0.048,-0.04,-13,215.67
3,0.048,-0.044,-12.8,215.117
4,0.048,-0.044,-12.8,215.67
5,0.048,-0.04,-12.8,215.117
6,0.048,-0.044,-13,215.67
7,0.048,-0.044,-13,215.117
8,0.048,-0.044,-12.8,215.117
9,0.048,-0.04,-13,215.117
10,0.048,-0.044,-12.8,215.117
11,0.048,-0.044,-12.8,215.67
12,0.048,-0.044,-13,215.67
13,0.048,-0.044,-12.8,215.67
14,0.052,-0.044,-12.8,215.67
15,0.048,-0.044,-12.8,215.67
16,0.048,-0.044,-13,215.117
17,0.048,-0.04,-12.8,215.117
18,0.048,-0.044,-13,215.67
19,0.048,-0.04,-13,215.67
20,0.048,-0.044,-13,215.117
21,0.048,-0.04,-12.8,215.117
22,0.048,-0.04,-12.8,215.117
23,0.048,-0.044,-13,215.67
24,0.048,-0.044,-12.8,215.67
25,0.048,-0.044,-13,215.67
26,0.048,-0.04,-13,215.117
27,0.048,-0.04,-12.8,215.67
28,0.052,-0.04,-12.8,215.67
29,0.048,-0.044,-12.8,215.117
30,0.048,-0.044,-13,215.117
31,0.048,-0.04,-12.8,215.117
32,0.048,-0.044,-12.8,215.67
33,0.048,-0.044,-12.8,215.117
34,0.048,-0.044,-12.8,215.67
35,0.048,-0.044,-12.8,215.117
36,0.048,-0.04,-12.8,215.67
37,0.048,-0.044,-13,215.117
38,0.052,-0.044,-13,215.67
39,0.048,-0.04,-13,215.67
40,0.052,-0.04,-13,215.67
41,0.048,-0.044,-12.8,215.117
42,0.048,-0.044,-12.8,215.67
43,0.052,-0.04,-13,215.67
44,0.048,-0.04,-13,215.67
45,0.048,-0.044,-13,215.117
46,0.048,-0.044,-12.8,215.67
47,0.048,-0.044,-13,215.117
48,0.048,-0.04,-13,215.117
49,0.048,-0.04,-12.8,215.117
50,0.048,-0.044,-12.8,215.67
51,0.052,-0.044,-12.8,215.67
52,0.048,-0.044,-12.8,215.117
53,0.048,-0.044,-13,215.67
54,0.048,-0.044,-13,215.117
55,0.048,-0.044,-12.8,215.117
56,0.048,-0.044,-13,215.117
57,0.048,-0.044,-12.8,215.117
58,0.048,-0.04,-12.8,215.67
59,0.052,-0.044,-13,215.67
60,0.048,-0.04,-13,215.67
61,0.052,-0.044,-12.8,215.117
62,0.052,-0.044,-12.8,215.67
63,0.048,-0.04,-12.8,215.67
64,0.048,-0.04,-13,215.67
65,0.048,-0.044,-13,215.67
66,0.052,-0.044,-12.8,215.67
67,0.048,-0.04,-13,215.67
68,0.048,-0.044,-13,215.67
69,0.048,-0.044,-13,215.67
70,0.048,-0.044,-13,215.67
71,0.048,-0.044,-13,215.117
72,0.048,-0.044,-12.8,215.67
73,0.048,-0.044,-12.8,215.117
74,0.048,-0.044,-13,215.67
75,0.052,-0.04,-12.8,215.117
76,0.048,-0.044,-13,215.67
77,0.052,-0.04,-13,215.117
78,0.048,-0.044,-12.8,215.67
79,0.052,-0.044,-12.8,215.117
80,0.048,-0.044,-13,215.67
81,0.048,-0.04,-13,215.67
82,0.048,-0.044,-13,215.67
83,0.048,-0.04,-13,215.67
84,0.048,-0.04,-12.8,215.67
85,0.052,-0.04,-13,215.67
86,0.052,-0.044,-13,215.67
87,0.052,-0.044,-12.8,215.117
88,0.052,-0.044,-12.8,215.67
89,0.056,-0.044,-13,215.67
90,0.052,-0.044,-13,215.117
91,0.052,-0.044,-13,215.67
92,0.052,-0.04,-13,215.67
93,0.052,-0.044,-13,215.67
94,0.052,-0.044,-13,215.117
95,0.056,-0.04,-12.8,215.117
96,0.052,-0.04,-13,215.67
97,0.052,-0.044,-13,215.67
98,0.056,-0.044,-13,215.117
99,0.056,-0.044,-12.8,215.67
100,0.056,-0.044,-13,215.117
101,0.052,-0.044,-13,215.67
102,0.052,-0.04,-12.8,215.117
103,0.052,-0.044,-12.8,215.67
104,0.056,-0.044,-13,215.117
105,0.052,-0.044,-13,215.67
106,0.052,-0.04,-13,215.67
107,0.052,-0.044,-13,215.117
108,0.056,-0.04,-13,215.67
109,0.052,-0.044,-13,215.67
110,0.056,-0.04,-13,215.67
111,0.052,-0.044,-13,215.117
112,0.056,-0.044,-12.8,215.67
113,0.056,-0.04,-13,215.117
114,0.052,-0.04,-12.8,215.67
115,0.052,-0.04,-13,215.117
116,0.052,-0.044,-12.8,215.117
117,0.056,-0.044,-13,215.67
118,0.052,-0.04,-13,215.67
119,0.052,-0.044,-13,215.67
120,0.052,-0.044,-13,215.67
121,0.056,-0.04,-12.8,215.67
122,0.056,-0.04,-12.8,215.67
123,0.052,-0.044,-13,215.117
124,0.056,-0.044,-12.8,215.117
125,0.052,-0.044,-13,215.67
126,0.052,-0.04,-12.8,215.67
127,0.052,-0.044,-13,215.117
128,0.056,-0.04,-13,215.67
129,0.056,-0.044,-13,215.67
130,0.056,-0.04,-13,215.67
131,0.052,-0.044,-13,215.117
132,0.056,-0.044,-13,215.117
133,0.052,-0.044,-13,215.67
134,0.056,-0.04,-13,215.67
135,0.052,-0.044,-13,215.117
136,0.052,-0.044,-13,215.117
137,0.056,-0.044,-13,215.117
138,0.052,-0.04,-13,215.117
139,0.052,-0.04,-13,215.117
140,0.052,-0.04,-13,215.67
141,0.056,-0.044,-13,215.117
142,0.056,-0.044,-13,215.117
143,0.052,-0.044,-13,215.117
144,0.056,-0.044,-13,215.67
145,0.052,-0.044,-12.8,215.117
146,0.056,-0.04,-13,215.67
147,0.052,-0.04,-13,215.117
148,0.052,-0.044,-13,215.117
149,0.052,-0.044,-13,215.67
150,0.056,-0.044,-12.8,215.117
151,0.052,-0.044,-13,215.117
152,0.052,-0.044,-13,215.117
153,0.052,-0.044,-13,215.67
154,0.056,-0.044,-13,215.67
155,0.052,-0.044,-13,215.67
156,0.052,-0.044,-13,215.117
157,0.052,-0.044,-13,215.67
158,0.052,-0.044,-13,215.67
159,0.052,-0.044,-13,215.67
160,0.056,-0.04,-13,215.67
161,0.056,-0.04,-13,215.117
